id,clinical_case,cc_question_number,question,answer,medical_subject,question_type,a_signal_gravite
1275,Un nouveau-né est admis pour une atrésie pulmonaire à septum ouvert. L’examen clinique ne note qu’une cyanose modérée avec une saturation à 85%.,1,Cette cardiopathie est-elle ducto-dépendante ?,Oui,Pediatric Cardiology,Understanding,True
1276,Un nouveau-né est admis pour une atrésie pulmonaire à septum ouvert. L’examen clinique ne note qu’une cyanose modérée avec une saturation à 85%. Cette cardiopathie est ducto-dépendante.,2,Prescrivez vous une perfusion de Prostaglandine E1 en urgence ? Pourquoi ?,"Non, car le canal artériel reste ouvert spontanément dans un quart des cas",Pediatric Cardiology,Reasoning,True
1278,"Un nouveau-né est admis pour une atrésie pulmonaire à septum ouvert. L’examen clinique ne note qu’une cyanose modérée avec une saturation à 85%. Cette cardiopathie est ducto-dépendante. Le lendemain de son admission, vous auscultez un souffle continu dans les deux champs pulmonaires.",4,A quoi ce souffle est-il du ?,A des collatérales aorto-pulmonaires ou bien (moins probable) au canal artériel,Pediatric Cardiology,Reasoning,True
1279,"Un nouveau-né est admis pour une atrésie pulmonaire à septum ouvert. L’examen clinique ne note qu’une cyanose modérée avec une saturation à 85%. Cette cardiopathie est ducto-dépendante. Le lendemain de son admission, vous auscultez un souffle continu dans les deux champs pulmonaires. Le cathétérisme cardiaque montre qu’il n’y a pas d’artères pulmonaires centrales.",5,Proposez un schéma thérapeutique chirurgical pour obtenir un cœur « en série ».,"Unifocalisation séquentielle des collatérales aorto-pulmonaires
 Mise en place d’un tube valvé entre le VD et les artères pulmonaires reconstruites avec fermeture de la CIV en 1 ou deux temps",Pediatric Cardiology,Reasoning,True
1282,"Une jeune femme de 28 ans suivie pour un ventricule unique pallié par une intervention de Fontan consulte pour une prise de poids de 8 kg en 15 jours. Elle a des œdèmes des membres inférieurs et une ascite modérée. Elle est discrètement cyanosée au repos et cette cyanose s’accentue dès qu’elle fait un effort. En échographie, les conditions d’examen ne vous permettent que de voir la fonction du ventricule unique qui est bonne sans fuite de la valve auriculo-ventriculaire.",1,Citez deux causes possibles aux œdèmes et à l’ascite.,"Obstacle sur le montage cavopulmonaire avec augmentation des pressions caves
 Entéropathie exsudative
 NB : la seconde peut être la conséquence de la première",Pediatric Cardiology,Understanding,True
1319,On vous demande conseil pour une nouveau-né en maternité chez qui une cyanose néonatale immédiate est constatée sans souffle ni signe d’insuffisance cardiaque clinique. La radiographie montre une perfusion pulmonaire symétrique apparemment normale. Le médecin qui vous interroge suspecte un retour veineux pulmonaire anormal total.,1,Peut-il avoir raison ? A quelle condition ?,Oui si celui-ci n’est pas bloqué,Pediatric Cardiology,Reasoning,True
1320,On vous demande conseil pour une nouveau-né en maternité chez qui une cyanose néonatale immédiate est constatée sans souffle ni signe d’insuffisance cardiaque clinique. La radiographie montre une perfusion pulmonaire symétrique apparemment normale. Le médecin qui vous interroge suspecte un retour veineux pulmonaire anormal total. L’hôpital où est l’enfant se situe à 15 minutes du centre spécialisé. L’état de l’enfant est inchangé (cyanose isolée) mais le médecin transporteur préfère débuter une perfusion de prostaglandine E1 « au cas où ».,2,Le confortez-vous dans cette attitude ? Justifiez-vous ?,"Non car si c’est une transposition des gros vaisseaux avec un foramen ovale restrictif, il y a un risque que la situation se dégrade en ouvrant très largement le canal artériel",Pediatric Cardiology,Reasoning,True
1321,"On vous demande conseil pour une nouveau-né en maternité chez qui une cyanose néonatale immédiate est constatée sans souffle ni signe d’insuffisance cardiaque clinique. La radiographie montre une perfusion pulmonaire symétrique apparemment normale. Le médecin qui vous interroge suspecte un retour veineux pulmonaire anormal total. L’hôpital où est l’enfant se situe à 15 minutes du centre spécialisé. L’état de l’enfant est inchangé (cyanose isolée) mais le médecin transporteur préfère débuter une perfusion de prostaglandine E1 « au cas où ». A l’arrivée dans le service spécialisé, la cyanose reste identique avec une saturation à 85%. Il n’a pas de souffle ni de signe d’insuffisance cardiaque clinique. Tous les pouls sont normalement palpés de façon symétrique. A mieux analyser la radiographie de thorax, vous pensez que la crosse aortique est à droite et la pointe du cœur est sus-diaphragmatique.",3,Quel diagnostic évoquez-vous ?,Atrésie pulmonaire avec communication interventriculaire,Pediatric Cardiology,Reasoning,True
1326,"Après un diagnostic anténatal d’hypoplasie du cœur gauche, vous accueillez à 10 minutes de vie un nouveau-né cyanosé à 80%, modérément polypnéique chez qui vous palpez tous les pouls. Vous confirmer le diagnostic de la cardiopathie en échographie (atrésie mitrale et aortique). Deux heures après son arrivée, la situation clinique se dégrade avec une détresse respiratoire sévère. La radiographie montre un œdème pulmonaire bilatéral. Il n’y a pas de dysfonctionnement du ventricule droit ni de fuite tricuspide ; le canal artériel est largement ouvert et fonction de façon adéquate.",3,Quelle explication fournissez-vous à cette évolution ? Comment pouvez-vous la traiter ?,"Le foramen ovale est restrictif
 Manœuvre de Rashkind",Pediatric Cardiology,Reasoning,True
1330,"Chez un nouveau-né eutrophe à terme, vous faites le diagnostic d’atrésie pulmonaire à septum interventriculaire intact. Le ventricule droit est bipartite avec une contiguïté entre l’infundibulum pulmonaire et le tronc de l’artère pulmonaire dont il n’est séparé que par un plancher valvulaire atrétique sur un anneau de 7 mm. Le diamètre de l’anneau tricuspide est de 11 mm (-1DS). Le traitement par perforation dilatation percutanée a été un succès mais à l’âge de 31 mois, la cyanose persiste avec une saturation aortique à 85%. Le gradient sur la voie pulmonaire est de 15 mm Hg.",3,Quel est la valeur du rapport Qp/Qs ?,2/3,Pediatric Cardiology,Reasoning,True
1379,Un nourrisson de 6 mois est admis pour un œdème pulmonaire. Il n’a aucun antécédent. La saturation aortique est à 100% sous oxygène. Vous n’entendez pas de souffle. Tous les pouls sont bien palpés. L’échographie ne montre pas d’anomalie des oreillettes ni des valves auriculo-ventriculaires ; les ventricules se contractent normalement ; les valves aortiques et pulmonaires sont normales ainsi que les deux gros vaisseaux. Le cathétérisme cardiaque montre une pression artérielle pulmonaire à 110/50 moyenne 70mmHg avec une pression capillaire pulmonaire moyenne à 45 mm Hg.,1,Quel diagnostic suspectez-vous ?,sténose des veines pulmonaires,Pediatric Cardiology,Reasoning,True
1384,Un enfant de 9 mois a une anastomose systémo-pulmonaire gauche par un fragment de Goretex 5 mm. Le résultat est adéquat pour la saturation en oxygène. La radiographie thoracique 15 jours après l’intervention montre un épanchement pleural.,1,Quels sont les deux diagnostics qu’il faut suspecter ?,"1-chylothorax
 2-sérome périprothétique",Pediatric Cardiology,Reasoning,True
1397,"Vous êtes appelé par le médecin du SAMU pour un nouveau-né pris en charge en maternité pour une hypoxie réfractaire. En dehors de la cyanose à 75%, aucun signe de détresse respiratoire ou d’insuffisance cardiaque n’est noté. Tous les pouls sont palpés de façon symétrique. L’auscultation cardiaque note un souffle systolique éjectionnel 3/6 au bord gauche du sternum.",1,Citez trois cardiopathies congénitales pouvant se présenter de cette façon chez un nouveau-né.,"1-tétralogie de Fallot
 2-sténose pulmonaire critique
 3-ventricule unique sténose pulmonaire",Pediatric Cardiology,Understanding,True
1398,"Vous êtes appelé par le médecin du SAMU pour un nouveau-né pris en charge en maternité pour une hypoxie réfractaire. En dehors de la cyanose à 75%, aucun signe de détresse respiratoire ou d’insuffisance cardiaque n’est noté. Tous les pouls sont palpés de façon symétrique. L’auscultation cardiaque note un souffle systolique éjectionnel 3/6 au bord gauche du sternum. Pendant le transport de l’enfant vers le service d’accueil, la situation se dégrade avec une majoration de la cyanose et un geignement.",2,Quel conseil donnez-vous au médecin transporteur ?,Prostaglandine IV,Pediatric Cardiology,Reasoning,True
1399,"Vous êtes appelé par le médecin du SAMU pour un nouveau-né pris en charge en maternité pour une hypoxie réfractaire. En dehors de la cyanose à 75%, aucun signe de détresse respiratoire ou d’insuffisance cardiaque n’est noté. Tous les pouls sont palpés de façon symétrique. L’auscultation cardiaque note un souffle systolique éjectionnel 3/6 au bord gauche du sternum. Pendant le transport de l’enfant vers le service d’accueil, la situation se dégrade avec une majoration de la cyanose et un geignement. A l’arrivée dans votre service, la situation est nettement améliorée. L’examen cardiovasculaire est inchangé. La radiographie de thorax indique un cœur en sabot poumons clairs. Vous diagnostiquez une tétralogie de Fallot. La réparation n’a pas été possible et l’enfant a eu une anastomose systémo-pulmonaire droite. Vous le voyez 6 mois plus tard en urgence alors qu’il avait été perdu de vue pour une cyanose profonde d’apparition brutale. L’auscultation ne retrouve pas de souffle. La saturation est mesurée à 50%. La fréquence cardiaque est à 170/mn.",3,Quel est votre diagnostic ?,Occlusion de l’anastomose et malaise anoxique de tétralogie de Fallot,Pediatric Cardiology,Reasoning,True
1401,"Vous êtes appelé par le médecin du SAMU pour un nouveau-né pris en charge en maternité pour une hypoxie réfractaire. En dehors de la cyanose à 75%, aucun signe de détresse respiratoire ou d’insuffisance cardiaque n’est noté. Tous les pouls sont palpés de façon symétrique. L’auscultation cardiaque note un souffle systolique éjectionnel 3/6 au bord gauche du sternum. Pendant le transport de l’enfant vers le service d’accueil, la situation se dégrade avec une majoration de la cyanose et un geignement. A l’arrivée dans votre service, la situation est nettement améliorée. L’examen cardiovasculaire est inchangé. La radiographie de thorax indique un cœur en sabot poumons clairs. Vous diagnostiquez une tétralogie de Fallot. La réparation n’a pas été possible et l’enfant a eu une anastomose systémo-pulmonaire droite. Vous le voyez 6 mois plus tard en urgence alors qu’il avait été perdu de vue pour une cyanose profonde d’apparition brutale. L’auscultation ne retrouve pas de souffle. La saturation est mesurée à 50%. La fréquence cardiaque est à 170/mn. Quelques minutes après votre intervention, la saturation passe à 70% et l’état général de l’enfant s’améliore nettement.",5,Quel signe auscultatoire témoignera du succès de votre intervention ?,Réapparition du souffle systolique au foyer pulmonaire,Pediatric Cardiology,Reasoning,True
1414,"Au terme de 24 semaines de grossesse, la coupe 4 cavité du cœur fœtal montre que le ventricule droit est plus petit que le ventricule gauche. La naissance a eu lieu à terme. Le nouveau-né est cyanosé de façon modérée (SaO2=85%) alors que le canal artériel est ouvert largement sous prostaglandine E1.",2,"Pouvez-vous calculer le Qp/Qs ? Si vous répondez oui, quel est votre diagnostic ? Si vous répondez non, quel est votre diagnostic ?","Oui, s’il s’agit d’une APSI car la cardiopathie est à sang mélangé et le Qp/Qs est à 2/1.
 S’il s’agit d’une sténose pulmonaire, on ne peut calculer exactement le débit pulmonaire car la contribution respective du canal artériel et de la voie antérograde ne sont pas facile à calculer.",Pediatric Cardiology,Reasoning,True
1415,"Au terme de 24 semaines de grossesse, la coupe 4 cavité du cœur fœtal montre que le ventricule droit est plus petit que le ventricule gauche. La naissance a eu lieu à terme. Le nouveau-né est cyanosé de façon modérée (SaO2=85%) alors que le canal artériel est ouvert largement sous prostaglandine E1. Il s’agit d’une APSI car la cardiopathie est à sang mélangé et le Qp/Qs est à 2/1.",3,Quel geste proposez-vous si le ventricule droit est bipartite avec un bel infundibulum et un anneau tricuspide de taille presque identique à l’anneau mitral ?,Perforation dilatation au ballonnet,Pediatric Cardiology,Reasoning,True
1416,"Au terme de 24 semaines de grossesse, la coupe 4 cavité du cœur fœtal montre que le ventricule droit est plus petit que le ventricule gauche. La naissance a eu lieu à terme. Le nouveau-né est cyanosé de façon modérée (SaO2=85%) alors que le canal artériel est ouvert largement sous prostaglandine E1. Il s’agit d’une APSI car la cardiopathie est à sang mélangé et le Qp/Qs est à 2/1. La perforation dilatation au ballonnet est un succès et l’enfant est rendu à ses parents sans autre traitement. Quelques mois plus tard, il reste cyanosé avec une saturation mesurée à 70%.",4,Quel est le Qp/Qs ?,1/2,Pediatric Cardiology,Reasoning,True
1441,"Vous êtes appelés en néonatologie pour une hypoxie chez un nouveau-né à terme né en état de mort apparente après une dystocie mécanique. Il n’a pas de cardiopathie malformative. Vous notez une fuite tricuspide à 5 m/s, une hypokinésie ventriculaire droite et un shunt droite gauche interauriculaire. La saturation au membre supérieur droit est à 90% et à 70% aux membres inférieurs.",2,Expliquez ces constatations.,"Shunt AP-AO par le canal artériel car les Rp sont supérieures aux Rs
 Compliance du VD moins bonne que celle du VG et shunt droite gauche par la CIA expliquant la désaturation dans l’aorte ascendante.",Pediatric Cardiology,Reasoning,True
1442,"Vous êtes appelés en néonatologie pour une hypoxie chez un nouveau-né à terme né en état de mort apparente après une dystocie mécanique. Il n’a pas de cardiopathie malformative. Vous notez une fuite tricuspide à 5 m/s, une hypokinésie ventriculaire droite et un shunt droite gauche interauriculaire. La saturation au membre supérieur droit est à 90% et à 70% aux membres inférieurs. Une heure après, la saturation au membre supérieur droit est à 100% mais reste à 85% aux membres inférieurs.",3,Quel paramètre s’est amélioré ?,La compliance du VD.,Pediatric Cardiology,Reasoning,True
1443,"Vous êtes appelés en néonatologie pour une hypoxie chez un nouveau-né à terme né en état de mort apparente après une dystocie mécanique. Il n’a pas de cardiopathie malformative. Vous notez une fuite tricuspide à 5 m/s, une hypokinésie ventriculaire droite et un shunt droite gauche interauriculaire. La saturation au membre supérieur droit est à 90% et à 70% aux membres inférieurs. Une heure après, la saturation au membre supérieur droit est à 100% mais reste à 85% aux membres inférieurs. Deux heures après sous monoxyde d’azote, la saturation est à 100% aux 4 membres.",4,Quel paramètre s’est amélioré ?,Les Rp ont baissé en dessous des Rs,Pediatric Cardiology,Reasoning,True
1451,Un jeune garçon de 8 ans a eu une palliation d’une cardiopathie complexe associant un ventricule unique et une atrésie pulmonaire par une dérivation cavopulmonaire partielle. Sa cyanose se majore nettement au repos et l’intolérance d’effort est importante.,1,Que proposez-vous ?,DCPT,Pediatric Cardiology,Reasoning,True
1452,"Un jeune garçon de 8 ans a eu une palliation d’une cardiopathie complexe associant un ventricule unique et une atrésie pulmonaire par une dérivation cavopulmonaire partielle. Sa cyanose se majore nettement au repos et l’intolérance d’effort est importante. DCPT est effectué avec succès. Quelques mois plus tard, il consulte pour une prise de poids rapide. A l’examen, il a une ascite et des œdèmes des membres inférieurs prenant le godet.",2,Quelles complications pouvez- vous évoquer ?,"Sténose du montage
 Entéropathie exsudative
 Dysfonction du ventricule unique ou fuite de(s) valve(s) auriculo-ventriculaire(s)",Pediatric Cardiology,Reasoning,True
1453,"Un jeune garçon de 8 ans a eu une palliation d’une cardiopathie complexe associant un ventricule unique et une atrésie pulmonaire par une dérivation cavopulmonaire partielle. Sa cyanose se majore nettement au repos et l’intolérance d’effort est importante. DCPT est effectué avec succès. Quelques mois plus tard, il consulte pour une prise de poids rapide. A l’examen, il a une ascite et des œdèmes des membres inférieurs prenant le godet. Vous faites un cathétérisme cardiaque qui montre une pression moyenne à 14 mm Hg dans le montage sans gradient à aucun endroit.",3,Quel diagnostic faites-vous finalement ?,Entéropathie exsudative,Pediatric Cardiology,Reasoning,True
1470,"Chez un nourrisson de 8 mois, vous notez une tachycardie à 150/mn à complexes fins permanente. Vous faites une manœuvre vagale qui n’a aucun effet sur la fréquence cardiaque mais qui démasque une dissociation auriculo- ventriculaire avec une fréquence des ondes P à 120/mn.",1,Quel diagnostic suspectez-vous ?,Tachycardie hissienne,Pediatric Cardiology,Reasoning,True
1477,"Vous accueillez un nouveau-né pour une cyanose réfractaire isolée. En échographie, vous faites le diagnostic d’atrésie pulmonaire à septum intact.",1,A quoi est due la cyanose ?,Shunt droite gauche interauriculaire,Pediatric Cardiology,Understanding,True
1480,"Vous accueillez un nouveau-né pour une cyanose réfractaire isolée. En échographie, vous faites le diagnostic d’atrésie pulmonaire à septum intact. Le ventricule droit est décrit comme tripartite.",4,Quel traitement médical proposez-vous ?,PGE1,Pediatric Cardiology,Understanding,True
1482,"Vous accueillez un nouveau-né pour une cyanose réfractaire isolée. En échographie, vous faites le diagnostic d’atrésie pulmonaire à septum intact. Le ventricule droit est décrit comme tripartite. La perforation-dilatation valvulaire pulmonaire a été un succès. La saturation après la procédure est à 90% alors que vous n’avez pas arrêté le traitement PGE1 qui reste efficace.",6,Pouvez-vous calculer le Qp/Qs ? Pourquoi ?,Non car on ne connait pas ce qui passe par voie antérograde et par le canal artériel,Pediatric Cardiology,Reasoning,True
1483,"Vous accueillez un nouveau-né pour une cyanose réfractaire isolée. En échographie, vous faites le diagnostic d’atrésie pulmonaire à septum intact. Le ventricule droit est décrit comme tripartite. La perforation-dilatation valvulaire pulmonaire a été un succès. La saturation après la procédure est à 90% alors que vous n’avez pas arrêté le traitement PGE1 qui reste efficace. L’enfant est sorti sans traitement. Vous le revoyez quelques semaines plus tard. La saturation est à 85%. Il n’y a pas d’obstacle sur la voie droite.",7,Pourquoi reste-t-il cyanosé ?,Shunt droite gauche atrial car VD non compliant,Pediatric Cardiology,Reasoning,True
1484,"Vous accueillez un nouveau-né pour une cyanose réfractaire isolée. En échographie, vous faites le diagnostic d’atrésie pulmonaire à septum intact. Le ventricule droit est décrit comme tripartite. La perforation-dilatation valvulaire pulmonaire a été un succès. La saturation après la procédure est à 90% alors que vous n’avez pas arrêté le traitement PGE1 qui reste efficace. L’enfant est sorti sans traitement. Vous le revoyez quelques semaines plus tard. La saturation est à 85%. Il n’y a pas d’obstacle sur la voie droite. A l’âge de 2 ans, la saturation est à 88% au repos et les parents disent qu’il devient franchement bleu lors de l’activité.",8,Que proposez-vous comme traitement définitif ?,"DCPP + fermeture de PFO pour faire 1,5 ventricule",Pediatric Cardiology,Reasoning,True
1487,Vous recevez un nouveau-né de 6 jours pour insuffisance cardiaque. La fréquence cardiaque est à 300/mn régulière.,1,Quels gestes faites vous pour préciser votre diagnostic ?,Manœuvre vagale : arrêt TJ,Pediatric Cardiology,Reasoning,True
1503,Votre avis est demandé pour un nouveau-né ayant une hernie de coupole diaphragmatique car il est cyanosé malgré la ventilation assistée et une oxygénothérapie à 100%. Une cyanose membre inférieurs est présente.,3,Que proposez-vous pour essayer de diminuer les résistance vasculaires pulmonaires ?,NO° inhalé,Pediatric Cardiology,Understanding,True
1505,Votre avis est demandé pour un nouveau-né ayant une hernie de coupole diaphragmatique car il est cyanosé malgré la ventilation assistée et une oxygénothérapie à 100%. Une cyanose membre inférieurs est présente. Le traitement par NO° inhalé est efficace mais le réanimateur vous rappelle car il trouve que la géométrie septale reste en faveur d’une HTAP isosystémique et veut discuter avec vous l’indication d’ECMO.,5,Comment lui expliquez-vous que la pression pulmonaire estimée sur la géométrie septale ne peut pas baisser en deçà de la pression aortique pour l’instant ?,Parce que le canal artériel est ouvert et égalise les pressions systoliques entre l’aorte et l’artère pulmonaire donc la géométrie septale qui apprécie la PAP systolique est celle d’une PVD isosystémique.,Pediatric Cardiology,Reasoning,True
1511,Vous prenez en charge un nourrisson ayant une atrésie pulmonaire avec communication interventriculaire. Le cathétérisme d’évaluation initiale est très péjoratif car il ne montre pas d’artères pulmonaires médiastinales mais uniquement des artères pulmonaires vascularisées par des collatérales naissant de l’aorte. La saturation est à 90% et l’enfant est franchement polypnéique.,1,Pourquoi ?,Il a un gros débit pulmonaire avec Qp/Qs à 3,Pediatric Cardiology,Reasoning,True
1516,"Vous suivez la grossesse d’une patiente sans antécédent notable. A 22 semaines, vous notez une bradycardie fœtale à 75/mn sans malformation cardiaque. A 34 semaines, la fréquence cardiaque est à 50/mn et il y a un petit épanchement péricardique.",2,Que proposez-vous ?,Extraction fœtale,Pediatric Cardiology,Reasoning,True
1517,"Vous suivez la grossesse d’une patiente sans antécédent notable. A 22 semaines, vous notez une bradycardie fœtale à 75/mn sans malformation cardiaque. A 34 semaines, la fréquence cardiaque est à 50/mn et il y a un petit épanchement péricardique. A la naissance, la fréquence cardiaque est à 43/mn.",3,Que proposez-vous ?,Pacemaker épicardique,Pediatric Cardiology,Reasoning,True
1553,"Un nouveau-né de 4 jours de vie est adressé en urgence pour une défaillance cardiaque et respiratoire aiguë. A l’arrivée, en ventilation assistée, vous notez une cyanose généralisée (SaO2=75%), une auscultation cardiaque normale et des pouls huméraux et fémoraux très faibles.",1,Quel diagnostic suspectez vous ?,HypoVG,Pediatric Cardiology,Reasoning,True
1555,"Une fillette de 4 ans est suivie en neuropédiatrie depuis l’âge de 2 ans pour une comitialité traitée par le Sabril. Elle consulte pour une perte de connaissance survenue dans la cour de l’école maternelle. Les pompiers appelés sur place ont constaté une tachycardie à 200/mn avec des signes de détresse circulatoire. Elle a reçu un choc électrique externe qui a rétabli immédiatement le rythme sinusal et l’hémodynamique. A l’arrivée, elle va très bien. L’ECG est normal et l’échographie cardiaque est normale. Sur le lambeau de scope que vous confient les pompiers vous voyez une tachycardie jonctionnelle puis un aspect de tachycardie ventriculaire avec un changement d’axe tous les deux complexes puis une tachycardie ventriculaire monomorphe à 180/mn.",1,Quel est votre diagnostic ?,Tachycardie ventriculaire catécholergique,Pediatric Cardiology,Reasoning,True
1608,"Un homme de 43 ans consulte pour asthénie intense d’apparition progressive associée à pâleur remarquée pars son entourage, et une dyspnée à l’effort. Dans ses antécédents, on a la notion d’une protéinurie (0.60 g/l) découverte lors du service national, mais non explorée. Il se plaint de céphalées, et de crampes des membres inférieurs. Son rythme cardiaque est rapide, sa tension artérielle est de 200/110 mmHg. Le bilan biologique montre les résultats suivants :
 Plasma :
 Na 136 mmol/L
 K 5.3 mmol/L
 Bicarbonate 18 mmol/L
 Glucose 5.2 mmol/L
 Protéines 66 g/L
 Urée 34 mmol/L
 Créatinine 750 µmol/L
 Calcium 2.05 mmol/L
 Phosphotes 1.9 mmol/L
 Sang : 
 Erythrocytes 3.5 T/L
 Hémoglobine 80 g/L
 Urine :
 Urée 80 mmol/L
 Créatinine 5,3 mmol/L
 Protéines 1,2 g/L
 Diurèse 1,6 L",1,Sur quels critères cliniques et biologiques peut-on affirmer une insuffisance rénale chronique (IRC) ? Calculer un paramètre biochimique fondamental non explicité dans le Dossier.,"Clinique:
 Asthénie, pâleur (anémie), HTA (le cœur rapide signe une insuffisance cardiaque liée à l’HTA).
 Biologique:
 Syndrome de rétention azotée: élévation massive de l'urée et de la créatinine plasmatique, Diurèse conservée dans l'IRC (s'oppose à l'oligoanurie de l'I.R. Aiguë).
 Clairance de la créatinine effondrée : C = UV/P = 0,13 mils (N = 1,35 à 2,3 mL/s).",Pharmacy,Reasoning,True
1697,"Melle D., 29 ans est hospitalisée en service de réanimation environ 7 heures après une tentative d’autolyse probablement médicamenteuse. A l’entrée, elle présente un état de somnolence avec confusion mentale, des douleurs abdominales de l’hypochondre droit, une hypotension artérielle, des troubles du rythme cardiaque, des nausées et vomissements, un état subictérique.
 Parmi les éléments du bilan sanguin, on relève les résultats suivants :
 Pl - - Urée 5 mmol/L
 Pl - - Glucose 3.3 mmol/L
 Se - - Créatinine 100 μmol/L
 Pl - - Sodium 145 mmol/L
 Pl - - Potassium 4.2 mmol/L
 Pl - - Chlorure 109 mmol/L
 Pl - - CO2 total 12 mmol/L
 Se - - Bilirubine totale 50 μmol/L
 Se - - Bilirubine conjuguée 5 μmol/L
 Se - - Alanine aminotransférase (ALAT, TGP) 30°C/SFBC 160 U/L
 Pl - - Aspartate aminotransférase (ASAT, TGO) 30°C/SFBC 167 U/L
 Se - - Phosphatase alcaline 30°C/SFBC 97 U/L
 Pl - - Taux de prothrombine 60%
 La recherche de toxiques dans le liquide de lavage gastrique révèle des traces de paracétamol. Huit heures après un dosage de paracétamol sanguin est effectué. Il est répété deux heures plus tard. La concentration en paracétamol dans le sang est de 40 mg/L dans le 1er prélèvement et de 33 mg/L deux heures plus tard.
 Valeurs des logarithmes : Ln 40 = 3.6889 ; Ln 33 = 3.4965 ; Ln 2 = 0.693",1,Commentez les résultats du bilan biologique.,"Atteinte hépatique.
 Bilirubine totale augmentée (normale inférieure à 17 micromol/L).
 Transaminases augmentées (normales 4 à 40 UI/L)
 Taux de prothrombine diminué (normale de 75 à 100 %) glycémie diminuée (normale 3,9 à 5,3 mmol/L).
 Pl - CO2 total effondré.",Pharmacy,Reasoning,True
1715,"Mme C., âgée de 75 ans et pesant 61 kg, est admise en urgence à l’hôpital pour troubles de la conscience, douleurs abdominales, et crampes musculaires. Son entourage indique qu’elle est traitée par metformine : GLUCOPHAGE retard® : 2 cps par jour depuis 15 ans.
 A l’examen clinique, le médecin note un pouls à 115 battements par min, une TA à 95/65 mmHG, une T°C rectale à 36.9°C et un mal perforant plantaire.
 Le bilan biologique d’entrée donne les résultats suivants :
 Pl - - glycémie 6.9 mmol/L
 Pl - - sodium 134 mmol/L
 Pl - - potassium 6.7 mmol/L
 Pl - - créatinine 295 μmol/L
 Pl - - urée 17.9 mmol/L
 SgA - - pH (37°C) 7.12
 SgA - - pCO2 17 mmHg ou 2.26 kPa
 SgA - - pO2 93 mmHg ou 12.37 kPa
 SgA - - bicarbonate 5.8 mmol/L
 Pl - - chlorure 93 mmol/L
 Absence de glycosurie et d’acétonurie à la bandelette réactive.",1,"En fonction de l’état clinique et du bilan biologique, quelle hypothèse diagnostique pouvez-vous faire ? Quel est l’examen biologique complémentaire susceptible de confirmer l’hypothèse ?","Ce dossier met en évidence un état précomateux chez une malade âgée souffrant de diabète non insulino- dépendant. Les signes cliniques sont en accord avec une suspicion d'acidose.
 Le bilan biologique d'entrée révèle :
 - une légère hyperglycémie sans glycosurie, ni présence de corps cétoniques dans les urines,
 - une hyperkaliémie,
 - une importante augmentation de la créatininémie et de l'urémie qui signe une insuffisance rénale (la clairance de la créatinine est de 14 ml/min, selon la formule de Cockroft et Gault) .
 - un trou anionique important avec abaissement du pH sanguin et de la PCO2. L'examen complémentaire à pratiquer est le dosage du lactate sanguin qui devrait être très élevé. Le bilan biologique confirme l'hypothèse diagnostique d'une acidose vraisemblablement lactique chez une patiente souffrant de diabète non insulino-dépendant DNID).",Pharmacy,Reasoning,True
1738,"Mme X., 75 ans, 54 kg, est admise au urgence, au cours d'une période de grande chaleur, dans un état d'obnibulation. Elle présente une sécheresse de la peau qui garde le pli, son pouls est à 150 battements par minute. De plus, elle est fébrile (38°C) et sa tension artérielle en position couchée est à 110/80 mmHg. Sa famille signale qu'elle a perdu 4 kg au cours des 5 derniers jours. On pratique à l'admission un bilan biologique qui donne les résultats suivants :
 Pl Sodium 142 mmol/L
 Pl Potassium 3,5 mmol/L
 Pl Chlorure 101 mmol/L
 Pl Protéines totales 86 g/L
 Pl Urée 21 mmol/L
 Pl Créatinine 120 μmol/L
 Sg Hémoglobine 178 g/L
 Sg Hématocrite 0,54
 La diurèse est alors à 0,8 L.
 Le diagnostic est celui d'une déshydratation extracellulaire.",1,Indiquez les signes cliniques qui permettent de confirmer l'existence d'une déshydratation extracellulaire.,"Signes cutanés: la peau perd son élasticité et garde le pli. Signes cardiovasculaires : l'hypotension et la tachycardie sont fréquentes. La perte de poids, qui peut être minime, est un signe constant.",Pharmacy,Reasoning,True
1743,"Un homme de 34 ans ayant consommé la veille une quantité très importante de méthanol estimée à plus de 200 mL est admis dans un service de réanimation. Il présente un coma profond aréflexique, une pression artérielle à 150/80 mmHg, un pouls à 70/min, une température à 37°C. Le bilan sanguin donne les valeurs suivantes :
 Pl Sodium 140 mmol/L
 Pl Potassium 5,3 mmol/L
 Pl Chlorure 95 mmol/L
 Pl CO2 10 mmol/L
 Pl Glucose 6,2 mmol/L
 Pl Urée 3,4 mmol/L
 Pl Osmolarité 388 mmol/L
 SgA pH 7,10",1,Commentez les résultats bio.,Acidose métabolique (pH abaissé + C02 total diminué + trou anionique). Hyperosmolarité plasmatique. Hyperglycémie. hyperkaliémie.,Pharmacy,Reasoning,True
